head_of_duty,year,quantity_of_measure,volume
Marked Gas Oil (MGO),2008,thousand litres,1503332
Kerosene,2008,thousand litres,1202471
Fuel Oil used in manufacture of Alumina,2008,thousand litres,212114
Residual Fuel Oils,2008,thousand litres,423279
Liquefied Petroleum Gas Other,2008,thousand litres,241613
Liquefied Petroleum Gas Auto ,2008,thousand litres,799
Bookmaking Licences number issued,2008,Number Issued,532
Bookmaking Premises number issued,2008,Number Issued,1093
Beer Import,2007,litres of alcohol,8304075
Beer Home,2007,litres of alcohol,14591592
Cider and Perry Import,2007,litres   ,11118758
Cider and Perry Home,2007,litres   ,70168343
Spirits Import,2007,litres of alcohol,4065576
Spirits Home,2007,litres of alcohol,5208496
Wine up to 5.5 percent,2007,litres   ,4501303
Wine Still between 5.5 and 15 percent,2007,litres   ,74974084
Wine Still over 15 percent,2007,litres   ,1185249
Wine Sparkling over 5.5 percent,2007,litres   ,2310533
Tobacco Cigarettes,2007,thousands,5401702
Tobacco  Cigars,2007,kilograms,46622
Fine Cut Tobacco,2007,kilograms,122848
Tobacco Other,2007,kilograms,32388
MHLO Leaded Petrol ,2007,thousand litres,0
MHLO Unleaded Petrol,2007,thousand litres,2377322
MHLO SuperPlus Unleaded,2007,thousand litres,406
MHLO Aviation Gasoline,2007,thousand litres,2096
Autodiesel,2007,thousand litres,3025245
Marked Gas Oil (MGO),2007,thousand litres,1592466
Kerosene,2007,thousand litres,1124404
Fuel Oil used in manufacture of Alumina,2007,thousand litres,223999
Residual Fuel Oils,2007,thousand litres,569209
Liquefied Petroleum Gas Other,2007,thousand litres,278852
Liquefied Petroleum Gas Auto ,2007,thousand litres,1037
Bookmaking Licences number issued,2007,Number Issued,704
Bookmaking Premises number issued,2007,Number Issued,1554
Beer Import,2006,litres of alcohol,5628763
Beer Home,2006,litres of alcohol,17396184
Cider and Perry Import,2006,litres   ,10139831
Cider and Perry Home,2006,litres   ,71835871
Spirits Import,2006,litres of alcohol,3743038
Spirits Home,2006,litres of alcohol,4909376
Wine up to 5.5 percent,2006,litres   ,3749160
Wine Still between 5.5 and 15 percent,2006,litres   ,70553564
Wine Still over 15 percent,2006,litres   ,1086559
Wine Sparkling over 5.5 percent,2006,litres   ,2010883
Tobacco Cigarettes,2006,thousands,5604884
Tobacco  Cigars,2006,kilograms,47164
Fine Cut Tobacco,2006,kilograms,109464
Tobacco Other,2006,kilograms,33825
MHLO Leaded Petrol ,2006,thousand litres,0
MHLO Unleaded Petrol,2006,thousand litres,2330103
MHLO SuperPlus Unleaded,2006,thousand litres,409
MHLO Aviation Gasoline,2006,thousand litres,2064
Autodiesel,2006,thousand litres,2836306
Marked Gas Oil (MGO),2006,thousand litres,1652547
Kerosene,2006,thousand litres,1126310
Fuel Oil used in manufacture of Alumina,2006,thousand litres,255256
Residual Fuel Oils,2006,thousand litres,884471
Liquefied Petroleum Gas Other,2006,thousand litres,276307
Liquefied Petroleum Gas Auto ,2006,thousand litres,1515
Bookmaking Licences number issued,2006,Number Issued,496
Bookmaking Premises number issued,2006,Number Issued,1151
Beer Import,2005,litres of alcohol,4906708
Beer Home,2005,litres of alcohol,18178583
Cider and Perry Import,2005,litres   ,8244618
Cider and Perry Home,2005,litres   ,70795146
Spirits Import,2005,litres of alcohol,3522485
Spirits Home,2005,litres of alcohol,4719672
Wine up to 5.5 percent,2005,litres   ,3434070
Wine Still between 5.5 and 15 percent,2005,litres   ,66051582
Wine Still over 15 percent,2005,litres   ,1061403
Wine Sparkling over 5.5 percent,2005,litres   ,1638350
Tobacco Cigarettes,2005,thousands,5514228
Tobacco  Cigars,2005,kilograms,48761
Fine Cut Tobacco,2005,kilograms,98971
Tobacco Other,2005,kilograms,38658
MHLO Leaded Petrol ,2005,thousand litres,0
MHLO Unleaded Petrol,2005,thousand litres,2264172
MHLO SuperPlus Unleaded,2005,thousand litres,2151
MHLO Aviation Gasoline,2005,thousand litres,1946
Autodiesel,2005,thousand litres,2595633
Marked Gas Oil (MGO),2005,thousand litres,1645479
Kerosene,2005,thousand litres,1080818
Fuel Oil used in manufacture of Alumina,2005,thousand litres,344197
Residual Fuel Oils,2005,thousand litres,929350
Liquefied Petroleum Gas Other,2005,thousand litres,277083
Liquefied Petroleum Gas Auto ,2005,thousand litres,1930
Bookmaking Licences number issued,2005,Number Issued,588
Bookmaking Premises number issued,2005,Number Issued,1170
Beer Import,2004,litres of alcohol,4126520
Beer Home,2004,litres of alcohol,18895970
Cider and Perry Import,2004,litres   ,7359790
Cider and Perry Home,2004,litres   ,68276626
Spirits Import,2004,litres of alcohol,3566251
Spirits Home,2004,litres of alcohol,4483198
Wine up to 5.5 percent,2004,litres   ,3146815
Wine Still between 5.5 and 15 percent,2004,litres   ,63815451
Wine Still over 15 percent,2004,litres   ,1050539
Wine Sparkling over 5.5 percent,2004,litres   ,1381047
Tobacco Cigarettes,2004,thousands,5330593
Tobacco  Cigars,2004,kilograms,56090
Fine Cut Tobacco,2004,kilograms,112321
Tobacco Other,2004,kilograms,38859
MHLO Leaded Petrol ,2004,thousand litres,0
MHLO Unleaded Petrol,2004,thousand litres,2187822
MHLO SuperPlus Unleaded,2004,thousand litres,5826
MHLO Aviation Gasoline,2004,thousand litres,2031
Autodiesel,2004,thousand litres,2443984
Marked Gas Oil (MGO),2004,thousand litres,1581434
Kerosene,2004,thousand litres,1052520
Fuel Oil used in manufacture of Alumina,2004,thousand litres,326994
Residual Fuel Oils,2004,thousand litres,949832
Liquefied Petroleum Gas Other,2004,thousand litres,279022
Liquefied Petroleum Gas Auto ,2004,thousand litres,1748
